"code","name","requirement_type","semester","start_year","end_year","semester_season"
"I056g","Szoftverfejlesztés gyak.","Gyakorlati jegy","2012/13/2","2012","2013","spring"
"IMN253L-00002","Üzleti webtechnológiák gyak","Gyakorlati jegy","2014/15/1","2014","2015","fall"
"IB056g","Szoftverfejlesztés gyak.","Gyakorlati jegy","2013/14/2","2013","2014","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB975","Szakdolgozat készítése 2. BSc (gi)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB901vm","Szakdolgozat készítése 2.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IBM3001","Diplomamunka készítése II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN552G","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN602G2","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"ITN9991G","Szakdolgozat előkészítése","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IBML3000","Diplomamunka készítése I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN502G","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2022/23/1","2022","2023","fall"
"IBML3001","Diplomamunka készítése II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IBM3001","Diplomamunka készítése II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB985g","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMEN551G","Thesis Work II.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB985","Szakdolgozat készítése 2. BSc (mi)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IML311E-00001","L Operációs rendszerek az iskolában ea. MSc.","Kollokvium","2020/21/1","2020","2021","fall"
"IB955","Szakdolgozat készítés 2. (pti2)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMEN3000","Thesis Work 1.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN501","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"ITN9991G","Szakdolgozat előkészítése","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"ITN311MKG","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2018/19/2","2018","2019","spring"
"IML311L","L Operációs rendszerek az iskolában lab. gyak. ","Gyakorlati jegy","2019/20/2","2019","2020","spring"
"IB950","Szakdolgozat készítés 1. (pti2)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB3000G","Szakdolgozat készítése 1.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IBM3000","Diplomamunka készítése I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB980g-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN502G","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB056g","Szoftverfejlesztés gyak.","Gyakorlati jegy","2014/15/2","2014","2015","spring"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2022/23/1","2022","2023","fall"
"IB901ui","Szakdolgozat készítése 2.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"ITN9992G","Szakdolgozat","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"KBN094G-00004","Szakdolgozat (Molekuláris bionika BSc)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB900vm","Szakdolgozat készítése 1.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB3000G","Szakdolgozat készítése 1.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IBM3000","Diplomamunka készítése I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN253L","Üzleti webtechnológiák gyak konf","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB985","Szakdolgozat készítése 2. BSc (mi)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN552G","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN552G","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"ITN311MKG","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMEN501","Thesis work 1.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN502G-00001","Diplomamunka készítése I. (GI)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IML311E-00001","L Operációs rendszerek az iskolában ea. MSc.","Kollokvium","2021/22/2","2021","2022","spring"
"IB985g","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"KBN094G-00004","Szakdolgozat (Molekuláris bionika BSc)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB900ui","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB980g-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2019/20/1","2019","2020","fall"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2019/20/2","2019","2020","spring"
"IB900vm","Szakdolgozat készítése 1.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
