Tárgykód,Tárgy neve,Követelmény,Típus,Félév,Kurzus,,,,,,,,,,,,,,,,
I611l,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2016/17/2,Nem,,,,,,,,,,,,,,,,1
IMN253L-00002,Üzleti webtechnológiák gyak,Gyakorlati jegy,O,2013/14/1,Nem,,,,,,,,,,,,,,,,2
IBL611l,L Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2017/18/2,Nem,,,,,,,,,,,,,,,,3
IB056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2012/13/2,Nem,,,,,,,,,,,,,,,,4
IB056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2013/14/2,Nem,,,,,,,,,,,,,,,,5
IML311L,L Operációs rendszerek az iskolában lab. gyak.,Gyakorlati jegy,O,2017/18/1,Nem,,,,,,,,,,,,,,,,6
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2014/15/2,Nem,,,,,,,,,,,,,,,,7
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2020/21/1,Nem,,,,,,,,,,,,,,,,8
IB950,Szakdolgozat készítés 1. (pti2),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,9
IB980-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,10
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2021/22/1,Nem,,,,,,,,,,,,,,,,11
IMN253L,Üzleti webtechnológiák gyak konf,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,12
IML5022miG,Diplomamunka készítése II. gy.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,13
IB975,Szakdolgozat készítése 2. BSc (gi),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,14
IB901vm,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,15
IBML3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,16
IB3001G,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,17
IB975,Szakdolgozat készítése 2. BSc (gi),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,18
IBML3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,19
IMN602G2,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,20
ITN311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,21
IMN501,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,22
ITN9991G,Szakdolgozat előkészítése,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,23
IBML3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,24
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2020/21/2,Nem,,,,,,,,,,,,,,,,25
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2019/20/1,Nem,,,,,,,,,,,,,,,,26
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2019/20/2,Nem,,,,,,,,,,,,,,,,27
ITL311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,28
IML311L,L Operációs rendszerek az iskolában lab. gyak.,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,29
ITL311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2019/20/2,Nem,,,,,,,,,,,,,,,,30
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2021/22/2,Nem,,,,,,,,,,,,,,,,31
IMN602G2,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,32
ITN311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,33
IMN5021miG,Diplomamunka készítése I. MI,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,34
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2017/18/2,Nem,,,,,,,,,,,,,,,,35
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2021/22/1,Nem,,,,,,,,,,,,,,,,36
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2021/22/1,Nem,,,,,,,,,,,,,,,,37
IMEN3000,Thesis Work 1.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,38
IMN602G1,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,39
IB970,Szakdolgozat készítése 1. BSc (gi),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,40
IMN502G,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,41
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2021/22/1,Nem,,,,,,,,,,,,,,,,42
